Model,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Time_sec,Std_Time_sec,N_Runs
Baseline LSTM,0.997950,0.000107,0.997806,0.998047,9.667159,3.800071,5
HHO-LSTM,0.998484,0.000024,0.998448,0.998505,1524.499267,601.478418,5
MHHO-LSTM,0.998464,0.000023,0.998436,0.998498,1703.994653,602.580979,5
