Model,Std_F1,CoV_%,Worst_Run_F1,Best_Run_F1
Baseline,0.0030587344151171963,0.3161409623051454,0.963499,0.97091
HHO,0.0010266421396184083,0.10492411804276186,0.9769230769230768,0.9798076923076922
MHHO,0.0009197656956590817,0.09399659249107699,0.9771634615384615,0.979326923076923
