Model,Mean_F1,Std_F1,Min_F1,Max_F1
Base-LSTM,0.9675223333333333,0.0030587344151171963,0.963499,0.97091
LSTM-HHO,0.9784615384615384,0.0010266421396184083,0.9769230769230768,0.9798076923076922
LSTM-MHHO,0.9785096153846153,0.0009197656956590817,0.9771634615384615,0.979326923076923
