Run,Seed,Baseline_F1,HHO_F1,MHHO_F1,Baseline_Time_sec,HHO_Time_sec,MHHO_Time_sec,HHO_Improvement_%,MHHO_Improvement_%
1,100,0.970910,0.979808,0.977163,41.637419,74.581871,324.649711,0.916459,0.644113
2,101,0.968158,0.976923,0.979087,42.707733,433.830421,551.183588,0.905309,1.128771
3,102,0.963499,0.979327,0.979327,43.841496,579.126118,757.223423,1.642761,1.642761
